timestamp,cash,mark_value,equity,open_positions,window_id
2022-10-12,99133.50149999993,0.0,99133.50149999993,5,1
2022-10-13,99071.03899999993,0.0,99071.03899999993,1,1
2022-10-14,99044.32849999993,0.0,99044.32849999993,1,1
2022-10-17,99018.38299999993,0.0,99018.38299999993,1,1
2022-10-18,99000.92099999993,0.0,99000.92099999993,0,1
2022-10-19,100000.0,0.0,100000.0,0,2
2022-10-20,99990.2655,0.0,99990.2655,1,2
2022-10-21,99980.53099999999,0.0,99980.53099999999,0,2
2022-10-24,99962.44799999999,0.0,99962.44799999999,1,2
2022-10-25,99944.36499999999,0.0,99944.36499999999,0,2
2022-10-26,99927.08299999998,0.0,99927.08299999998,1,2
2022-10-27,99908.00099999997,0.0,99908.00099999997,2,2
2022-10-28,99871.63699999997,0.0,99871.63699999997,0,2
2022-10-31,99853.62599999997,0.0,99853.62599999997,1,2
2022-11-01,99834.95799999997,0.0,99834.95799999997,2,2
2022-11-02,99815.97499999996,0.0,99815.97499999996,3,2
2022-11-03,99797.78399999996,0.0,99797.78399999996,4,2
2022-11-04,99723.93099999995,0.0,99723.93099999995,0,2
2022-11-07,99723.93099999995,0.0,99723.93099999995,0,2
2022-11-08,99706.63099999995,0.0,99706.63099999995,1,2
2022-11-09,99689.33099999995,0.0,99689.33099999995,0,2
2022-11-10,99679.92049999995,0.0,99679.92049999995,1,2
2022-11-11,99669.69999999995,0.0,99669.69999999995,2,2
2022-11-14,99630.86099999996,0.0,99630.86099999996,1,2
2022-11-15,99611.65299999996,0.0,99611.65299999996,0,2
2022-11-16,99592.14799999996,0.0,99592.14799999996,1,2
2022-11-17,99563.43499999995,0.0,99563.43499999995,1,2
2022-11-18,99554.34849999995,0.0,99554.34849999995,2,2
2022-11-21,99536.05399999995,0.0,99536.05399999995,0,2
2022-11-22,99526.45899999994,0.0,99526.45899999994,1,2
2022-11-23,99517.99799999995,0.0,99517.99799999995,2,2
2022-11-25,99499.94199999995,0.0,99499.94199999995,0,2
2022-11-28,99480.02299999994,0.0,99480.02299999994,1,2
2022-11-29,99460.10399999995,0.0,99460.10399999995,0,2
2022-11-30,99451.59799999994,0.0,99451.59799999994,1,2
2022-12-01,99443.09199999995,0.0,99443.09199999995,0,2
2022-12-02,99432.68249999994,0.0,99432.68249999994,1,2
2022-12-05,99402.80399999993,0.0,99402.80399999993,1,2
2022-12-06,99384.75699999993,0.0,99384.75699999993,2,2
2022-12-07,99364.00099999992,0.0,99364.00099999992,3,2
2022-12-08,99287.74499999991,0.0,99287.74499999991,1,2
2022-12-09,99269.76099999991,0.0,99269.76099999991,0,2
