timestamp_utc,plan_id,symbol,strategy,entry_debit,entry_mid,current_mark,peak_mark,unrealized_pnl,unrealized_pnl_pct,signal,closed,dte
2026-04-07T14:06:00Z,AAPL_20260407_1400,AAPL,,241.0,225.0,210.0,210.0,-31.0,-12.86,hold,0,31.246
2026-04-07T14:06:18Z,NVDA_20260407_1402,NVDA,,1082.0,1071.0,1065.0,1065.0,-17.0,-1.57,hold,0,24.246
2026-04-07T14:06:35Z,GOOGL_20260407_1400,GOOGL,,2189.0,2167.0,2136.0,2136.0,-53.0,-2.42,hold,0,24.245
2026-04-07T14:06:44Z,AMZN_20260407_1400,AMZN,,1768.0,1750.0,1747.0,1747.0,-21.0,-1.19,hold,0,24.245
2026-04-07T14:08:00Z,TSLA_20260407_1402,TSLA,,3581.0,3545.0,3549.0,3549.0,-32.0,-0.89,hold,0,24.244
2026-04-07T14:08:25Z,META_20260407_1401,META,,5670.0,5613.0,5551.0,5551.0,-119.0,-2.1,hold,0,24.244
2026-04-07T14:08:57Z,QQQ_20260407_1403,QQQ,,321.0,294.0,303.0,309.0,-18.0,-5.61,hold,0,31.244
2026-04-07T14:09:12Z,AAPL_20260407_1400,AAPL,,241.0,225.0,202.0,210.0,-39.0,-16.18,hold,0,31.244
2026-04-07T14:09:28Z,NVDA_20260407_1402,NVDA,,1082.0,1071.0,1068.0,1068.0,-14.0,-1.29,hold,0,24.243
2026-04-07T14:09:47Z,GOOGL_20260407_1400,GOOGL,,2189.0,2167.0,2083.0,2136.0,-106.0,-4.84,hold,0,24.243
2026-04-07T14:09:58Z,AMZN_20260407_1400,AMZN,,1768.0,1750.0,1747.0,1747.0,-21.0,-1.19,hold,0,24.243
2026-04-07T14:11:25Z,META_20260407_1409,META,,5607.0,5551.0,5551.0,5551.0,-56.0,-1.0,hold,0,24.242
2026-04-07T14:11:41Z,GOOGL_20260407_1409,GOOGL,,2354.0,2330.0,2339.0,2339.0,-15.0,-0.64,hold,0,24.242
2026-04-07T14:11:58Z,TSLA_20260407_1410,TSLA,,3561.0,3525.0,3569.0,3569.0,8.0,0.22,hold,0,24.242
2026-04-07T14:12:09Z,AAPL_20260407_1408,AAPL,,220.0,202.0,222.0,222.0,2.0,0.91,hold,0,31.242
2026-04-07T14:12:57Z,SPY_20260407_1410,SPY,,2928.0,2899.0,2942.0,2942.0,14.0,0.48,hold,0,31.241
2026-04-07T14:13:05Z,AMZN_20260407_1408,AMZN,,1765.0,1747.0,1747.0,1747.0,-18.0,-1.02,hold,0,24.241
